TITLE,CONFERENCE,GITHUB,AWARDS
BlockBet,ETHGlobal Istanbul,https://github.com/blockbet-collective/blockbet,Pool Prize
DirectHelp,ETHGlobal Istanbul,https://github.com/directhelporg/directhelp,2nd Place
Buddy-Guard,ETHGlobal Istanbul,https://github.com/raigal-r/buddy-guard,2nd Place
4DLimitOrder,ETHGlobal Istanbul,https://github.com/earlyxyz/composable-cow/blob/main/script/submit_SingleLimit4D.s.sol,2nd Place
Smart Health Data,ETHGlobal Istanbul,https://github.com/morandalex/morandalex-ethglobal-istanbul23-smart-health-data/,Deploy on Scroll
Footy Stars,ETHGlobal Istanbul,https://github.com/Footy-Stars/README,2nd Place
YieldNest,ETHGlobal Istanbul,https://github.com/amadeobrands/yieldnest-istanbul/,1st Place
DeFi Builder,ETHGlobal Istanbul,https://github.com/urataps/nft-module-marketplace,Deploy on Scroll
OraNFT,ETHGlobal Istanbul,https://github.com/Danzed11/OraNFT,Pool Prize
Grow or Gamble,ETHGlobal Istanbul,https://github.com/francisco-leal/good-goals,Innovation Pool Prize
OneSave,ETHGlobal Istanbul,https://github.com/0xabh/OneSave,Innovation Pool Prize
Raven,ETHGlobal Istanbul,https://github.com/bartomolina/raven,1st Place
MusicChef,ETHGlobal Istanbul,https://github.com/TUM-Blockchain-Club/MusicChef,Innovation Pool Prize
Memento,ETHGlobal Istanbul,https://github.com/igorperic17/memento/,🏊 Filecoin — Pool Prize
Prophecy,ETHGlobal Istanbul,https://github.com/karlostoteles/Prophecy,Pool Prize
GenieAI,ETHGlobal Istanbul,https://github.com/GenieAI-Labs/core,Runner-up
BigFatCryptoWedding,ETHGlobal Istanbul,https://github.com/rezabfil-sec/mybigfatcryptowedding,Best use of Threshold
PeerPal,ETHGlobal Istanbul,https://github.com/fchambi/PeerPal,Innovation Pool Prize
SecureMate,ETHGlobal Istanbul,https://github.com/sambitsargam/SecureMate,Pool Prize
MindShare,ETHGlobal Istanbul,https://github.com/abdtimur/ethglobal-istanbul,Deploy on Scroll
Dub3.ai,ETHGlobal Istanbul,https://github.com/fabriziogianni7/dub3,🥇 Cartesi — Best Use
Radyal,ETHGlobal Istanbul,https://github.com/ethglobal,Innovation Pool Prize
LensBet,ETHGlobal Istanbul,https://github.com/social-alchemy/quadratic-social-justice,3rd Place
RepOracle,ETHGlobal Istanbul,https://github.com/voidcenter/eth-istanbul,Innovation Pool Prize
ThreeFundMe,ETHGlobal Istanbul,https://github.com/blu3labs/threefundme,Innovation Pool Prize
Next-gen RPC node,ETHGlobal Istanbul,https://github.com/cyberwider/next-gen-rpc,🏊 Filecoin — Pool Prize
Domain Expansion,ETHGlobal Istanbul,https://github.com/0xDononymous/DefiLnR,🤲 Axiom — Best for On-chain Incentivization
Keoken,ETHGlobal Istanbul,https://github.com/bocha-io/keoken,NFT Infrastructure Prize
Hackavote!,ETHGlobal Istanbul,https://github.com/Hackavote/hackavote-interface,Best use of Threshold
Para Para,ETHGlobal Istanbul,https://github.com/kevinstubbs/istanbul23-parapara,Pool Prize
WristWallet,ETHGlobal Istanbul,https://github.com/wristwallet/android-wistwallet,Pool Prize
CoinLoop,ETHGlobal Istanbul,https://github.com/ben-harper27/tradershub,Innovation Pool Prize
Rely,ETHGlobal Istanbul,https://github.com/hsyndeniz/rely,Merhaba Push Protocol
SubMan,ETHGlobal Istanbul,https://github.com/blu3labs/subman,Innovation Pool Prize
Arachne 6551,ETHGlobal Istanbul,https://github.com/bibitto/Arachne-Contracts,Innovation Pool Prize
MeowLend,ETHGlobal Istanbul,https://github.com/StableUnit/EthIstanbulContracts,Pool Prize
CrossChain DAO,ETHGlobal Istanbul,https://github.com/4bridges/vote-snap,Pool Prize
EcoVerse DAO,ETHGlobal Istanbul,https://github.com/airidasbeno/ecoverse-dao,Innovation Pool Prize
DecentraleX,ETHGlobal Istanbul,https://github.com/Decentralex-ETH-Istanbul/react-client,Best Sign In with Worldcoin App
nft-folder-macos,ETHGlobal Istanbul,https://github.com/grachyov/nft-folder-macos,🥇 1inch — Best Use of Dev Portal APIs
Stark-Bridge-n-Frog,ETHGlobal Istanbul,https://github.com/rdubois-crypto/Stark-Bridge-n-Frog,3rd Place
ProgWallet,ETHGlobal Istanbul,https://github.com/flyinglimao/ProgWallet/,Pool Prize
.Finance,ETHGlobal Istanbul,https://github.com/GotFly/ethglobal-hakathon-contracts,Pool Prize
S.C.I,ETHGlobal Istanbul,https://github.com/alavarello/secure-ci,2nd Place
oSnapV2,ETHGlobal Istanbul,https://github.com/alexanderem49/osnap-v2,2nd Place
Collateralisation St,ETHGlobal Istanbul,https://github.com/8ball030/collatralisation_station,🥈 1inch — Open Track
blicence,ETHGlobal Istanbul,https://github.com/blicence/Blicontract,Pool Prize
COP6,ETHGlobal Istanbul,https://github.com/parseb/COP6,Pool Prize
PieSlicer,ETHGlobal Istanbul,https://github.com/PieSlicer/smart-contracts,2nd Place
DeXodus,ETHGlobal Istanbul,https://github.com/4lsh4/deXodus/,🥇 API3 — Best Use of dAPI price feeds
SoundSafe,ETHGlobal Istanbul,https://github.com/GianlucaMinoprio/SoundSafe,1st Place
Morvo,ETHGlobal Istanbul,https://github.com/luzalbaposse/Morvo-App,Best Overall
Chirpy,ETHGlobal Istanbul,https://github.com/akirawuc/chirpy,Pool Prize
People's Platform,ETHGlobal Istanbul,https://github.com/yavuzitconsulting/peoplesplatform,Deploy on Scroll
Grassroots,ETHGlobal Istanbul,https://github.com/refi-istanbul/grassroots,Best Overall use of Waku
DeDe,ETHGlobal Istanbul,https://github.com/dede-EthIstanbul/DeDe,Innovation Pool Prize
BridgeBuddy,ETHGlobal Istanbul,https://github.com/Bluegales/BridgeBuddy,🎼 Hyperlane — 2nd Best Interchain App
Kandinsky,ETHGlobal Istanbul,https://github.com/marian2js/kandinsky,1st Place
DevGo,ETHGlobal Istanbul,https://github.com/Dinaris/TokenGo,Deploy on Scroll
TeleSnails,ETHGlobal Istanbul,https://github.com/TurmericLabs/telesnails,Pool Prize
Inflow,ETHGlobal Istanbul,https://github.com/inflowhack/inflow,Pool Prize
UniRoll,ETHGlobal Istanbul,https://github.com/abhishekvispute/uniroll-contracts,Innovation Pool Prize
Refer.eth,ETHGlobal Istanbul,https://github.com/Refer-eth/refereth-frontend,Innovation Pool Prize
AAtomato,ETHGlobal Istanbul,https://github.com/jonathangus/eth-global-istanbul,Deploy on Scroll
ProductTech,ETHGlobal Istanbul,https://github.com/0xForkHunter/product.tech,Pool Prize
"Sarma+EVM=ZKEVM,PEXC",ETHGlobal Istanbul,https://github.com/jordan-public/evm-private-execution/blob/main/demo/README.md,🏊 Filecoin — Pool Prize
FootyDAO,ETHGlobal Istanbul,https://github.com/jrcarlos2000/FootyDAO-contracts,Pool Prize
Coincidence,ETHGlobal Istanbul,https://github.com/orpheuslummis/coincidence-ethglobal2023istanbul,Innovation Pool Prize
dETH legacy,ETHGlobal Istanbul,https://github.com/svalls26/dETHlegacy,Innovation Pool Prize
Stay Warm,ETHGlobal Istanbul,https://github.com/StayWarmLabs/StayWarm,Deploy on Scroll
TripBloc,ETHGlobal Istanbul,https://github.com/Gautambnsl/TripBloc-EthIstanbul,🏆 Ethereum Foundation - Build with Fe
Yield for Good,ETHGlobal Istanbul,https://github.com/eth-global-ist-2023/yield-for-good,Deploy on Scroll
Grayskull Guardians,ETHGlobal Istanbul,https://github.com/Caruso33/GrayskullGuardians,Innovation Pool Prize
Prompt to Chain,ETHGlobal Istanbul,https://github.com/lorenz234/prompttochain,Deploy on Scroll
Circuit Breaker SNIP,ETHGlobal Istanbul,https://github.com/Akashneelesh/SNIP7625,2nd Place
KittyCross,ETHGlobal Istanbul,https://github.com/mbcse/KittyCross/,🏆 Filecoin — Grand Prize
CanaryBay,ETHGlobal Istanbul,https://github.com/0xnook/canary-registry,Pool Prize
Treasury Anchor,ETHGlobal Istanbul,https://github.com/Velvet-Capital/walletAA/,Pool Prize
Encrypted Pokemon,ETHGlobal Istanbul,https://github.com/Mississippi-Labs/mississippi,Deploy on Scroll
Park,ETHGlobal Istanbul,https://github.com/murrlincoln/Istanbul-Hackathon,Innovation Pool Prize
Coincidence of Meow,ETHGlobal Istanbul,https://github.com/dimsome/com-bridge,Pool Prize
SoFiLend,ETHGlobal Istanbul,https://github.com/Shimadakunn/SoFi,Pool Prize
PRENDICO,ETHGlobal Istanbul,https://github.com/Le-Caignec/UNICEF,Most novel solution solving for cryptocurrencies in cash assistance
IntentBoost,ETHGlobal Istanbul,https://github.com/Gelato-B2B/Istanbul_hack,🥈 1inch — Best Innovation on Fusion API
ZKvote.cc,ETHGlobal Istanbul,https://github.com/oxor-io/zk-layer-vote,3rd Place
Blobnouns,ETHGlobal Istanbul,https://github.com/Blob-Guardians/blobtoss-cli,3rd Place
universe,ETHGlobal Istanbul,https://github.com/nichitagutu/disrupt-uni,Pool Prize
Wayve,ETHGlobal Istanbul,https://github.com/wayve-ethglobal-ist,Pool Prize
FomoGotchi,ETHGlobal Istanbul,https://github.com/DMomot/fomogotchi,Pool Prize
NextMillionaire,ETHGlobal Istanbul,https://github.com/venkatnetha/EthIstanbul-Hack/,Deploy on Scroll
StarkForge,ETHGlobal Istanbul,https://github.com/Vennila-Seshadri/StarkForge,Pool Prize
Aggeragator_Hook,ETHGlobal Istanbul,https://github.com/Attens1423/Aggregator-Hook,1st Place
Amca,ETHGlobal Istanbul,https://github.com/tahirahmadin/sleepswap-frontend-ethistanbul,API3 Runners up
Donat3,ETHGlobal Istanbul,https://github.com/seeincodes/donat3,Deploy on Scroll
BrunchClub,ETHGlobal Istanbul,https://github.com/Ferossgp/brunchclub,🏊 Filecoin — Pool Prize
Avatar,ETHGlobal Istanbul,https://github.com/karasakalmt/carbon,Innovation Pool Prize
Private Cloud,ETHGlobal Istanbul,https://github.com/filoozom/private-cloud-ipfs-waku-devconnect,🏆 Filecoin — Grand Prize
Lambda Protocol,ETHGlobal Istanbul,https://github.com/andrew54068/lambda-protocol-interface,🏊 Filecoin — Pool Prize
Keblobs,ETHGlobal Istanbul,https://github.com/awesome-abstraction/arbitrum-stylus-package,Pool Prize
Pachama-ma,ETHGlobal Istanbul,https://github.com/Pachama-ma/pachama-ma-frontend,Pool Prize
Cat cha chat,ETHGlobal Istanbul,https://github.com/social-bureau/ethglobal-istanbul-fe,Pool Prize
BlockTalk,ETHGlobal Istanbul,https://github.com/whatupjeff/blocktalk,Pool Prize
TicTacToe Agent,ETHGlobal Istanbul,https://github.com/OwnerOfJK/TicTacToeAgent,1st Place
SpicyBets,ETHGlobal Istanbul,https://github.com/MikePawel/SpicyBets,Pool Prize
PePay,ETHGlobal Istanbul,https://github.com/jonovdm/pepay,1st Place
Galata Charity Relay,ETHGlobal Istanbul,https://github.com/RebZJ/galata,Innovation Pool Prize
Prodigy Piano Diary,ETHGlobal Istanbul,https://github.com/gonzalobarria/prodigy-piano-diary.git,1st Place
ForeverKnowledgeable,ETHGlobal Istanbul,https://github.com/NomadHackers/client,Deploy on Scroll
Green$creen,ETHGlobal Istanbul,https://github.com/EGI-2023/greenscreen,Innovation Pool Prize
LavaBets,ETHGlobal Istanbul,https://github.com/eliasnemr/lava,Pool Prize
zkmap,ETHGlobal Istanbul,https://github.com/Volthai7us/eth-global-istanbul,🥇 Grand Prize
Onay,ETHGlobal Istanbul,https://github.com/OnayHQ/onay,🥇 1inch — Best Use of Dev Portal APIs
HABITS,ETHGlobal Istanbul,https://github.com/D9J9V/HABITS,Best Mobile dApp on Celo 
ZK bridge,ETHGlobal Istanbul,https://github.com/zk-bridges/l1-contracts,Innovation Pool Prize
Toxic Fl-no,ETHGlobal Istanbul,https://github.com/tredfern0/toxic-fl-no ,📒 Axiom — Best for DeFi
GaslessPOAPs,ETHGlobal Istanbul,https://github.com/Deivitto/gassless-poaps,1st Place
SaferBridge,ETHGlobal Istanbul,https://github.com/Robbiekruszynski/ist_bridge_2023,🥇 Winner
Edit Stars,ETHGlobal Istanbul,https://github.com/memduhb/editstars-fe,🏊 Filecoin — Pool Prize
WTForm,ETHGlobal Istanbul,https://github.com/WTFAcademy/WTForm,Innovation Pool Prize
DeFi Omni Dapp,ETHGlobal Istanbul,https://github.com/orgs/hackashell,3rd Place
Cabal Chat,ETHGlobal Istanbul,https://github.com/Cabal-Labs/cabal-chat,🥈 1inch — Open Track
Secure Social Swap,ETHGlobal Istanbul,https://github.com/kuntik17/eth-ist-scs,Best use of Threshold
nexus-dai,ETHGlobal Istanbul,https://github.com/Nexus-2023/nexus-dai,1st Place
MediScan,ETHGlobal Istanbul,https://github.com/MediScanHQ/mediscan-monorepo,Top 5 - Best App Built on Leo
FastSwaps,ETHGlobal Istanbul,https://github.com/sheva323/IstanbulHackathon,2nd Place
Wiser,ETHGlobal Istanbul,https://github.com/bahadircan-bc/hackathon-eth,Deploy on Scroll
HuggingLily,ETHGlobal Istanbul,https://github.com/tolgayayci/ethglobal-istanbul,🏆 Filecoin — Grand Prize
Nazar,ETHGlobal Istanbul,https://github.com/iuwqyir/nazar,Innovation Pool Prize
VAPOR,ETHGlobal Istanbul,https://github.com/0xFableOrg/vapor,Best game or marketplace using Waku
AlterLend,ETHGlobal Istanbul,https://github.com/solity-research/eth-global-istanbul,3rd Place
ZKnoid,ETHGlobal Istanbul,https://github.com/aii23/MinaZKanoid,2nd Place
In-Sua-Rance,ETHGlobal Istanbul,https://github.com/WudingRoad1145/Insuarance,Pool Prize
Tgwap,ETHGlobal Istanbul,https://github.com/Twap-IT,Innovation Pool Prize
ConTx,ETHGlobal Istanbul,https://github.com/ETHGlobal-ConTx/ConTx,Innovation Pool Prize
Pinky Promise,ETHGlobal Istanbul,https://github.com/MickdeGraaf/pinky-promise,3rd Place
GNL,ETHGlobal Istanbul,https://github.com/berkingurcan/gnl-ETHGlobal-Istanbul2023,Top 5 - Best App Built on Leo
GOAT RAMP,ETHGlobal Istanbul,https://github.com/0xturboblitz/goatramp,3rd Place
EASy Work,ETHGlobal Istanbul,https://github.com/vaniiiii/easy-work-contracts,Pool Prize
Ticket PROTOCOL,ETHGlobal Istanbul,https://github.com/IdCom4/ETHGlobalIstanbul,Innovation Pool Prize
AirdropFi,ETHGlobal Istanbul,https://github.com/mattiapomelli/fairdrop,Innovation Pool Prize
WalletSync,ETHGlobal Istanbul,https://github.com/deepshah9696/ETHIstanbul,Pool Prize
Stabilan,ETHGlobal Istanbul,https://github.com/duxxud/ethglobal-stabilan,🥇 1inch — Most Innovative using Token Plugins
Green Zkrciticty,ETHGlobal Istanbul,https://github.com/DappaDanDev/green-zktricity_,Best overall Aztec Sandbox dapp
Cairo Arena,ETHGlobal Istanbul,https://github.com/0xKube/Cairo_Arena,Madara's special prize
